0000UNIQUECOUNT     	12593
ELE36909            	321	0.084%
GRO61641            	320	0.084%
SNA93730            	320	0.084%
DAI37607            	319	0.084%
ELE20202            	317	0.083%
DAI69156            	316	0.083%
GRO52067            	315	0.083%
GRO89004            	308	0.081%
ELE11160            	307	0.081%
FRO47962            	306	0.08%
DAI47529            	304	0.08%
ELE69552            	303	0.08%
GRO84328            	299	0.079%
DAI83031            	297	0.078%
DAI43868            	296	0.078%
GRO39357            	296	0.078%
FRO48920            	294	0.077%
DAI92253            	293	0.077%
GRO87006            	291	0.076%
GRO71615            	290	0.076%
GRO65522            	288	0.076%
DAI22534            	287	0.075%
DAI23334            	286	0.075%
DAI74315            	286	0.075%
SNA74022            	286	0.075%
FRO83374            	285	0.075%
FRO53088            	285	0.075%
ELE65859            	284	0.075%
DAI52318            	282	0.074%
FRO17734            	282	0.074%
SNA31619            	281	0.074%
DAI72236            	280	0.074%
DAI67189            	280	0.074%
ELE61940            	279	0.073%
FRO99756            	278	0.073%
ELE88031            	277	0.073%
FRO13478            	276	0.072%
ELE30182            	274	0.072%
FRO49827            	273	0.072%
GRO23573            	272	0.071%
DAI87412            	271	0.071%
ELE53470            	271	0.071%
ELE38504            	271	0.071%
DAI64292            	270	0.071%
DAI18527            	268	0.07%
ELE36333            	268	0.07%
FRO22809            	267	0.07%
GRO34288            	266	0.07%
ELE61961            	265	0.07%
FRO66852            	262	0.069%
SNA16036            	262	0.069%
FRO74605            	261	0.069%
GRO17075            	261	0.069%
SNA66583            	261	0.069%
FRO97732            	260	0.068%
SNA61380            	260	0.068%
DAI59546            	259	0.068%
SNA80192            	258	0.068%
ELE18198            	256	0.067%
DAI46755            	255	0.067%
DAI87514            	254	0.067%
ELE22970            	252	0.066%
GRO81045            	252	0.066%
ELE27021            	251	0.066%
ELE72565            	249	0.065%
GRO67806            	248	0.065%
DAI95860            	246	0.065%
SNA57913            	244	0.064%
DAI26390            	243	0.064%
SNA93641            	240	0.063%
DAI53110            	239	0.063%
FRO87415            	239	0.063%
SNA38046            	239	0.063%
ELE53835            	237	0.062%
GRO15448            	237	0.062%
GRO74951            	237	0.062%
SNA17270            	236	0.062%
FRO86643            	235	0.062%
SNA99654            	234	0.061%
DAI43747            	233	0.061%
DAI13902            	233	0.061%
GRO57279            	233	0.061%
DAI99319            	232	0.061%
DAI80076            	232	0.061%
ELE19549            	231	0.061%
SNA89368            	231	0.061%
ELE81987            	230	0.06%
FRO95943            	230	0.06%
SNA46873            	230	0.06%
FRO27054            	229	0.06%
GRO89148            	228	0.06%
ELE16299            	227	0.06%
DAI35798            	226	0.059%
ELE38536            	226	0.059%
ELE16038            	226	0.059%
DAI27125            	225	0.059%
GRO46839            	225	0.059%
SNA30859            	224	0.059%
ELE69675            	223	0.059%
FRO31824            	223	0.059%
FRO77633            	223	0.059%
SNA81024            	222	0.058%
SNA56249            	222	0.058%
ELE86306            	221	0.058%
DAI31893            	220	0.058%
ELE74410            	220	0.058%
FRO74324            	220	0.058%
DAI48423            	218	0.057%
ELE38511            	218	0.057%
GRO35827            	218	0.057%
SNA26242            	218	0.057%
ELE73604            	216	0.057%
ELE87710            	215	0.056%
DAI28743            	214	0.056%
ELE11375            	214	0.056%
GRO29598            	214	0.056%
DAI87507            	213	0.056%
DAI13788            	213	0.056%
ELE81534            	213	0.056%
FRO44046            	213	0.056%
GRO91660            	212	0.056%
SNA37803            	212	0.056%
GRO30912            	210	0.055%
SNA12690            	210	0.055%
FRO23748            	209	0.055%
DAI93865            	208	0.055%
ELE69630            	208	0.055%
FRO87724            	208	0.055%
SNA91554            	208	0.055%
ELE87243            	205	0.054%
FRO61611            	205	0.054%
GRO39661            	205	0.054%
FRO31077            	203	0.053%
GRO13844            	203	0.053%
GRO52116            	203	0.053%
ELE35159            	202	0.053%
DAI63631            	201	0.053%
SNA80230            	201	0.053%
DAI89320            	200	0.053%
ELE42696            	200	0.053%
SNA35625            	199	0.052%
ELE60182            	198	0.052%
DAI50895            	197	0.052%
ELE88539            	197	0.052%
ELE58409            	196	0.051%
DAI53152            	195	0.051%
SNA71244            	195	0.051%
DAI91392            	194	0.051%
FRO71487            	194	0.051%
GRO18468            	193	0.051%
GRO46627            	192	0.05%
ELE50913            	190	0.05%
FRO53137            	190	0.05%
FRO55003            	189	0.05%
SNA12933            	189	0.05%
ELE73453            	188	0.049%
SNA14713            	188	0.049%
DAI16732            	187	0.049%
ELE61844            	187	0.049%
FRO42750            	186	0.049%
FRO68870            	186	0.049%
DAI91422            	185	0.049%
GRO56701            	185	0.049%
GRO48282            	184	0.048%
DAI72502            	183	0.048%
ELE30327            	183	0.048%
FRO48055            	182	0.048%
FRO25840            	182	0.048%
FRO57082            	182	0.048%
DAI37288            	181	0.048%
DAI13266            	181	0.048%
ELE69204            	179	0.047%
ELE59541            	179	0.047%
FRO64059            	179	0.047%
FRO74121            	179	0.047%
FRO61161            	178	0.047%
SNA97586            	178	0.047%
DAI62356            	177	0.046%
ELE63685            	176	0.046%
DAI26369            	175	0.046%
FRO99751            	175	0.046%
